regparam 2**-10, cindex 0.571253
regparam 2**-9, cindex 0.579307
regparam 2**-8, cindex 0.593338
regparam 2**-7, cindex 0.619724
regparam 2**-6, cindex 0.669924
regparam 2**-5, cindex 0.737458
regparam 2**-4, cindex 0.794501
regparam 2**-3, cindex 0.815712
regparam 2**-2, cindex 0.806867
regparam 2**-1, cindex 0.780328
