regparam 2**15, cindex 0.621959
regparam 2**16, cindex 0.632806
regparam 2**17, cindex 0.639091
regparam 2**18, cindex 0.639778
regparam 2**19, cindex 0.642290
regparam 2**20, cindex 0.646168
regparam 2**21, cindex 0.650433
regparam 2**22, cindex 0.654823
regparam 2**23, cindex 0.659453
regparam 2**24, cindex 0.663929
regparam 2**25, cindex 0.667622
regparam 2**26, cindex 0.670609
regparam 2**27, cindex 0.672896
regparam 2**28, cindex 0.674493
regparam 2**29, cindex 0.675019
regparam 2**30, cindex 0.673560
regparam 2**31, cindex 0.668919
regparam 2**32, cindex 0.661228
regparam 2**33, cindex 0.650475
regparam 2**34, cindex 0.638849
