regparam 2**-10, cindex 0.718990
regparam 2**-9, cindex 0.725494
regparam 2**-8, cindex 0.732533
regparam 2**-7, cindex 0.738109
regparam 2**-6, cindex 0.742912
regparam 2**-5, cindex 0.743215
regparam 2**-4, cindex 0.742478
regparam 2**-3, cindex 0.743173
regparam 2**-2, cindex 0.741882
regparam 2**-1, cindex 0.733905
