regparam 2**-10, cindex 0.614197
regparam 2**-9, cindex 0.625297
regparam 2**-8, cindex 0.637933
regparam 2**-7, cindex 0.652413
regparam 2**-6, cindex 0.665824
regparam 2**-5, cindex 0.678009
regparam 2**-4, cindex 0.687217
regparam 2**-3, cindex 0.692244
regparam 2**-2, cindex 0.691334
regparam 2**-1, cindex 0.683918
