regparam 2**-8 2**20, cindex 0.676801
regparam 2**-8 2**21, cindex 0.679197
regparam 2**-8 2**22, cindex 0.681399
regparam 2**-8 2**23, cindex 0.682999
regparam 2**-8 2**24, cindex 0.683289
regparam 2**-7 2**20, cindex 0.685102
regparam 2**-7 2**21, cindex 0.687529
regparam 2**-7 2**22, cindex 0.689681
regparam 2**-7 2**23, cindex 0.691138
regparam 2**-7 2**24, cindex 0.691212
regparam 2**-6 2**20, cindex 0.690586
regparam 2**-6 2**21, cindex 0.692980
regparam 2**-6 2**22, cindex 0.694840
regparam 2**-6 2**23, cindex 0.696064
regparam 2**-6 2**24, cindex 0.695856
regparam 2**-5 2**20, cindex 0.693083
regparam 2**-5 2**21, cindex 0.695008
regparam 2**-5 2**22, cindex 0.696558
regparam 2**-5 2**23, cindex 0.697309
regparam 2**-5 2**24, cindex 0.696840
