regparam 2**15, cindex 0.658342
regparam 2**16, cindex 0.661003
regparam 2**17, cindex 0.664175
regparam 2**18, cindex 0.667797
regparam 2**19, cindex 0.671715
regparam 2**20, cindex 0.675785
regparam 2**21, cindex 0.679904
regparam 2**22, cindex 0.684160
regparam 2**23, cindex 0.688524
regparam 2**24, cindex 0.692646
regparam 2**25, cindex 0.695753
regparam 2**26, cindex 0.697759
regparam 2**27, cindex 0.699013
regparam 2**28, cindex 0.700089
regparam 2**29, cindex 0.700894
regparam 2**30, cindex 0.700466
regparam 2**31, cindex 0.697815
regparam 2**32, cindex 0.692387
regparam 2**33, cindex 0.684515
regparam 2**34, cindex 0.674731
