regparam 2**15, cindex 0.852992
regparam 2**16, cindex 0.857293
regparam 2**17, cindex 0.861211
regparam 2**18, cindex 0.864155
regparam 2**19, cindex 0.866294
regparam 2**20, cindex 0.867680
regparam 2**21, cindex 0.867836
regparam 2**22, cindex 0.866747
regparam 2**23, cindex 0.864499
regparam 2**24, cindex 0.861045
regparam 2**25, cindex 0.856315
regparam 2**26, cindex 0.850456
regparam 2**27, cindex 0.843686
regparam 2**28, cindex 0.835646
regparam 2**29, cindex 0.826194
regparam 2**30, cindex 0.814448
regparam 2**31, cindex 0.800172
regparam 2**32, cindex 0.783402
regparam 2**33, cindex 0.763310
regparam 2**34, cindex 0.739090
